Type de formation,Nom de la région,P-code de la région,Nom de la préfecture,P-code de la préfecture,Nom de la sous-préfecture,P-code de la sous-préfecture,Total des établissements,Établissements formées
#output+type,#adm1+name,#adm1+code,#adm2+name,#adm2+code,#adm3+name,#adm3+code,#inneed,#reached
PCI Ebola,Labe,GIN006,Koubia,GIN006001,Matakaou,GIN00600104,1,0
PCI Ebola,Labe,GIN006,Koubia,GIN006001,Missira,GIN00600105,1,0
PCI Ebola,Labe,GIN006,Koubia,GIN006001,Pilimini,GIN00600106,3,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Dalein,GIN00600201,3,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Daralabe,GIN00600202,4,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Diari,GIN00600203,4,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Dionfo,GIN00600204,3,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Garambe,GIN00600205,3,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Hafia,GIN00600206,4,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Kaalan,GIN00600207,3,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Kouramangui,GIN00600208,1,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Labe Ctre,GIN00600209,10,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Noussy,GIN00600210,2,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Popodara,GIN00600211,7,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Sannou,GIN00600212,3,0
PCI Ebola,Labe,GIN006,Labe,GIN006002,Tountourou,GIN00600213,3,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Balaya,GIN00600301,1,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Diontou,GIN00600302,4,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Herico,GIN00600303,1,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Korbe,GIN00600304,1,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Lafou,GIN00600305,3,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Lelouma Ctre,GIN00600306,2,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Linsan Saran,GIN00600307,2,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Manda,GIN00600308,1,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Parawol,GIN00600309,2,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Sagale,GIN00600310,1,0
PCI Ebola,Labe,GIN006,Lelouma,GIN006003,Tianguel Bori,GIN00600311,3,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Balaki,GIN00600401,1,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Donghol Sigon,GIN00600402,3,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Dougountouny,GIN00600403,3,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Fougou,GIN00600404,1,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Gayah,GIN00600405,3,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Hidayatou,GIN00600406,3,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Lebekeren,GIN00600407,1,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Madina Wora,GIN00600408,2,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Mali Ctre,GIN00600409,5,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Salambande,GIN00600410,2,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Telire,GIN00600411,4,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Touba,GIN00600412,1,0
PCI Ebola,Labe,GIN006,Mali,GIN006004,Yimbering,GIN00600413,2,0
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Fatako,GIN00600501,3,0
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Fello Koundoua,GIN00600502,1,0
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Kansangui,GIN00600503,4,0
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Koin,GIN00600504,2,0
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Kolangui,GIN00600505,1,0
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Konah,GIN00600507,3,0
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Kouratongo,GIN00600508,2,0
PCI Ebola,Labe,GIN006,Tougue,GIN006005,Tangali,GIN00600509,1,0
