Subprefecture name,Subprefecture p-code,Prefecture name,Prefecture p-code,Region name,Region p-code
Kouria,GIN00500102,Coyah,GIN005001,Kindia,GIN005
Kouroussa Ctre,GIN00400311,Kouroussa,GIN004003,Kankan,GIN004
Koyamah,GIN00800407,Macenta,GIN008004,Nzerekore,GIN008
Marella,GIN00300307,Faranah,GIN003003,Faranah,GIN003
Linko,GIN00400206,Kerouane,GIN004002,Kankan,GIN004
Linsan Saran,GIN00600307,Lelouma,GIN006003,Labe,GIN006
Lisso,GIN00100105,Boffa,GIN001001,Boke,GIN001
Lola Ctre,GIN00800307,Lola,GIN008003,Nzerekore,GIN008
Macenta Ctre,GIN00800408,Macenta,GIN008004,Nzerekore,GIN008
Maci,GIN00700306,Pita,GIN007003,Mamou,GIN007
Manfran,GIN00300410,Kissidougou,GIN003004,Faranah,GIN003
Madina Oula,GIN00500406,Kindia,GIN005004,Kindia,GIN005
Madina Wora,GIN00600408,Mali,GIN006004,Labe,GIN006
Mafara,GIN00700108,Dalaba,GIN007001,Mamou,GIN007
Maferinya,GIN00500308,Forecariah,GIN005003,Kindia,GIN005
Malanta,GIN00100306,Gaoual,GIN001003,Boke,GIN001
Manda,GIN00600308,Lelouma,GIN006003,Labe,GIN006
Malapouya,GIN00100207,Boke,GIN001002,Boke,GIN001
Mankountan,GIN00100106,Boffa,GIN001001,Boke,GIN001
Malea,GIN00400506,Siguiri,GIN004005,Kankan,GIN004
Mali Ctre,GIN00600409,Mali,GIN006004,Labe,GIN006
Mambia,GIN00500407,Kindia,GIN005004,Kindia,GIN005
Mamou Ctre,GIN00700206,Mamou,GIN007002,Mamou,GIN007
Mamouroudou,GIN00400108,Kankan,GIN004001,Kankan,GIN004
Mandiana Ctre,GIN00400408,Mandiana,GIN004004,Kankan,GIN004
Missamana,GIN00400109,Kankan,GIN004001,Kankan,GIN004
Missira,GIN00600105,Koubia,GIN006001,Labe,GIN006
Mitty,GIN00700109,Dalaba,GIN007001,Mamou,GIN007
Molota,GIN00500408,Kindia,GIN005004,Kindia,GIN005
Mombeyah,GIN00700110,Dalaba,GIN007001,Mamou,GIN007
Nongoa,GIN00800207,Gueckedou,GIN008002,Nzerekore,GIN008
Moribayah,GIN00400110,Kankan,GIN004001,Kankan,GIN004
Morodou,GIN00400409,Mandiana,GIN004004,Kankan,GIN004
Moussadou,GIN00800110,Beyla,GIN008001,Nzerekore,GIN008
Moussayah,GIN00500309,Forecariah,GIN005003,Kindia,GIN005
Ndema,GIN00300109,Dabola,GIN003001,Faranah,GIN003
Nzebela,GIN00800409,Macenta,GIN008004,Nzerekore,GIN008
Nzerekore Ctre,GIN00800506,Nzerekore,GIN008005,Nzerekore,GIN008
Nzoo,GIN00800308,Lola,GIN008003,Nzerekore,GIN008
Naboun,GIN00400507,Siguiri,GIN004005,Kankan,GIN004
Nionsomoridou,GIN00800111,Beyla,GIN008001,Nzerekore,GIN008
Niagassola,GIN00400508,Siguiri,GIN004005,Kankan,GIN004
Niandankoro,GIN00400509,Siguiri,GIN004005,Kankan,GIN004
Niantanina,GIN00400410,Mandiana,GIN004004,Kankan,GIN004
Ninguelande,GIN00700307,Pita,GIN007003,Mamou,GIN007
Norassoba,GIN00400510,Siguiri,GIN004005,Kankan,GIN004
Noussy,GIN00600210,Labe,GIN006002,Labe,GIN006
Nyagara,GIN00700207,Mamou,GIN007002,Mamou,GIN007
Ouassou,GIN00500205,Dubreka,GIN005002,Kindia,GIN005
Ouende Kenema,GIN00800208,Gueckedou,GIN008002,Nzerekore,GIN008
Sintali,GIN00700310,Pita,GIN007003,Mamou,GIN007
Oure Kaba,GIN00700208,Mamou,GIN007002,Mamou,GIN007
Ouremai,GIN00800410,Macenta,GIN008004,Nzerekore,GIN008
Pale,GIN00800507,Nzerekore,GIN008005,Nzerekore,GIN008
Panziazou,GIN00800411,Macenta,GIN008004,Nzerekore,GIN008
Parawol,GIN00600309,Lelouma,GIN006003,Labe,GIN006
Sabadou Baranama,GIN00400111,Kankan,GIN004001,Kankan,GIN004
Passaya,GIN00300308,Faranah,GIN003003,Faranah,GIN003
Pela,GIN00800606,Yomou,GIN008006,Nzerekore,GIN008
Pilimini,GIN00600106,Koubia,GIN006001,Labe,GIN006
Pita Ctre,GIN00700308,Pita,GIN007003,Mamou,GIN007
Popodara,GIN00600211,Labe,GIN006002,Labe,GIN006
Poredaka,GIN00700209,Mamou,GIN007002,Mamou,GIN007
Sagale,GIN00600310,Lelouma,GIN006003,Labe,GIN006
Sakourala,GIN00800112,Beyla,GIN008001,Nzerekore,GIN008
Saladou,GIN00400411,Mandiana,GIN004004,Kankan,GIN004
Salambande,GIN00600410,Mali,GIN006004,Labe,GIN006
Samana,GIN00800113,Beyla,GIN008001,Nzerekore,GIN008
Samaya,GIN00500409,Kindia,GIN005004,Kindia,GIN005
Sambailo,GIN00100404,Koundara,GIN001004,Boke,GIN001
Samoe,GIN00800508,Nzerekore,GIN008005,Nzerekore,GIN008
Sandenia,GIN00300309,Faranah,GIN003003,Faranah,GIN003
Sangardo,GIN00300411,Kissidougou,GIN003004,Faranah,GIN003
Sangareah,GIN00700309,Pita,GIN007003,Mamou,GIN007
Selouma,GIN00300208,Dinguiraye,GIN003002,Faranah,GIN003
Sangaredi,GIN00100208,Boke,GIN001002,Boke,GIN001
Sanguiana,GIN00400312,Kouroussa,GIN004003,Kankan,GIN004
Sannou,GIN00600212,Labe,GIN006002,Labe,GIN006
Sareboido,GIN00100405,Koundara,GIN001004,Boke,GIN001
Sarekali,GIN00500509,Telimele,GIN005005,Kindia,GIN005
Sansale,GIN00100209,Boke,GIN001002,Boke,GIN001
Sansando,GIN00400412,Mandiana,GIN004004,Kankan,GIN004
Saramoussaya,GIN00700210,Mamou,GIN007002,Mamou,GIN007
Telire,GIN00600411,Mali,GIN006004,Labe,GIN006
Sengbedou,GIN00800412,Macenta,GIN008004,Nzerekore,GIN008
Seredou,GIN00800413,Macenta,GIN008004,Nzerekore,GIN008
Sibiribaro,GIN00400207,Kerouane,GIN004002,Kankan,GIN004
Siguiri Ctre,GIN00400511,Siguiri,GIN004005,Kankan,GIN004
Siguirini,GIN00400512,Siguiri,GIN004005,Kankan,GIN004
Sikhourou,GIN00500310,Forecariah,GIN005003,Kindia,GIN005
Sinko,GIN00800114,Beyla,GIN008001,Nzerekore,GIN008
Songoyah,GIN00300310,Faranah,GIN003003,Faranah,GIN003
Soromaya,GIN00400208,Kerouane,GIN004002,Kankan,GIN004
Sougueta,GIN00500410,Kindia,GIN005004,Kindia,GIN005
Soulouta,GIN00800509,Nzerekore,GIN008005,Nzerekore,GIN008
Tarihoye,GIN00500512,Telimele,GIN005005,Kindia,GIN005
Soyah,GIN00700211,Mamou,GIN007002,Mamou,GIN007
Tamita,GIN00100107,Boffa,GIN001001,Boke,GIN001
Termassadou,GIN00800210,Gueckedou,GIN008002,Nzerekore,GIN008
Tangali,GIN00600509,Tougue,GIN006005,Labe,GIN006
Teguereyah,GIN00700212,Mamou,GIN007002,Mamou,GIN007
Tekoulo,GIN00800209,Gueckedou,GIN008002,Nzerekore,GIN008
Termesse,GIN00100406,Koundara,GIN001004,Boke,GIN001
Tianguel Bori,GIN00600311,Lelouma,GIN006003,Labe,GIN006
Timbi Madina,GIN00700311,Pita,GIN007003,Mamou,GIN007
Timbi Touni,GIN00700312,Pita,GIN007003,Mamou,GIN007
Timbo,GIN00700213,Mamou,GIN007002,Mamou,GIN007
Tormelin,GIN00100504,Fria,GIN001005,Boke,GIN001
Touba,GIN00600412,Mali,GIN006004,Labe,GIN006
Tinti Oulen,GIN00400112,Kankan,GIN004001,Kankan,GIN004
Tiro,GIN00300311,Faranah,GIN003003,Faranah,GIN003
Tokounou,GIN00400113,Kankan,GIN004001,Kankan,GIN004
Tolo,GIN00700214,Mamou,GIN007002,Mamou,GIN007
Tondon,GIN00500207,Dubreka,GIN005002,Kindia,GIN005
Touba,GIN00100307,Gaoual,GIN001003,Boke,GIN001
Tougnifily,GIN00100108,Boffa,GIN001001,Boke,GIN001
Tougue Ctre,GIN00600510,Tougue,GIN006005,Labe,GIN006
Tounkarata,GIN00800309,Lola,GIN008003,Nzerekore,GIN008
Kanfarande,GIN00100205,Boke,GIN001002,Boke,GIN001
Banian,GIN00300301,Faranah,GIN003003,Faranah,GIN003
Dixinn,GIN00200101,Conakry,GIN002001,Conakry,GIN002
Kaloum,GIN00200102,Conakry,GIN002001,Conakry,GIN002
Matam,GIN00200103,Conakry,GIN002001,Conakry,GIN002
Ratoma,GIN00200105,Conakry,GIN002001,Conakry,GIN002
Matoto,GIN00200104,Conakry,GIN002001,Conakry,GIN002
