Région,Préfecture,Sous-préfecture,Nom de l'Établissement,Nombre total de personnes ,Public ou privé?,Partenaire responsable de la formation,Date de la formation,Durée de la formation (jours),Type de formation,Nombre de personnes formées
#adm1+name,#adm2+name,#adm3+name,#loc+name,#inneed+training,#status+sector,#org+code,#date,#output+duration,#output+type,#reached+trained
Kindia,Kindia,Madina oula,CSR Mandina Oula,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Madina oula,PS/Madina Oula,,public,Jhpiego,2015-05-17,,PCI Ebola,
Kindia,Kindia,Mambia,CS Mambia,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Mambia,PS/Mambia,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Molota,CSR Molota,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Molota,PS/Molota,,public,Jhpiego,2015-05-17,,PCI Ebola,
Kindia,Kindia,Samaya,CSR Samaya,,public,Jhpiego,2015-05-17,,PCI Ebola,
Kindia,Kindia,Samaya,PS/Samaya,,public,Jhpiego,2015-05-24,,PCI Ebola,
Kindia,Kindia,Sougueta,CSR Sougueta,,public,Jhpiego,2015-05-31,,PCI Ebola,
Kindia,Kindia,Sougueta,PS/Sougueta,,public,Jhpiego,2015-05-17,,PCI Ebola,
Kindia,Telimele,Bourouwal,Bourouwal,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Daramagnaky,Daramagnaky,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Gougoudje,Gougoudjé,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Koba,Koba (T),,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Kollet,Kollet (TE),,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Konsotami,Konsotami,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Missira,Missira (T),,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Santou,Santou,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Sarekali,Sarékaly,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Sinta,Sinta,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Sogolon,Sogolon,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Tarihoye,Tarihoye,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Telemele Ctre,Hôpital préfectoral de Telemele,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Telemele Ctre,Télimélé-Centre,,public,Jhpiego,,,PCI Ebola,
Kindia,Telimele,Thionthian,Thionthian,,public,Jhpiego,,,PCI Ebola,
Nzerekore,Beyla,Beyla Ctre,CSU Diakolidou,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Beyla Ctre,Hopital prefectoral Beyla,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Boola,CSR Boola,,public,Jhpiego,2015-04-22,,PCI Ebola,
Nzerekore,Beyla,Diaraguerela,CSR Diaragberela,,public,Jhpiego,2015-04-22,,PCI Ebola,
Nzerekore,Beyla,Diaraguerela,PS/Diaguerala,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Diassodou,CSR Diassodou,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Fouala,CSR Fouala,,public,Jhpiego,2015-04-22,,PCI Ebola,
Nzerekore,Beyla,Gbakedou,CSR Gbakedou,,public,Jhpiego,2015-04-22,,PCI Ebola,
Nzerekore,Beyla,Gbakedou,CSR Sobakono,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Gbessoba,CSR Gbessoba,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Gbessoba,PS/Gbessoba,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Karala,CSR Karala,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Koumandou,CSR Koumandou ,,public,Jhpiego,2015-04-22,,PCI Ebola,
Nzerekore,Beyla,Koumandou,PS/Koumandou,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Moussadou,CSR Moussadou,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Nionsomoridou,CSR Nionsomoridou,,public,Jhpiego,2015-04-22,,PCI Ebola,
Nzerekore,Beyla,Sakourala,CSR Sokourala,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Sakourala,PS/Sokourala,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Samana,CSR Samana,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Samana,PS/Samana,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Sinko,CMC Sinko,,public,Jhpiego,2015-04-22,,PCI Ebola,
Nzerekore,Beyla,Sinko,CSR Sinko,,public,Jhpiego,2015-03-15,,PCI Ebola,
Nzerekore,Beyla,Sinko,PS/Sinko,,public,Jhpiego,2015-03-15,,PCI Ebola,
